month,borough,minutes_platforms_available,minutes_platforms_in_service,availability,platform_count
2018-01-01,Bronx,1160640,1090451,0.939525607,26
2018-01-01,Brooklyn,3256055,3134672,0.962720839,73
2018-01-01,Manhattan,6733810,6350002,0.943002847,151
2018-01-01,Queens,2276640,2096173,0.92073099,51
2018-01-01,Systemwide,13427145,12671298,0.943707542,4
2018-02-01,Bronx,1048320,1009340,0.962816697,26
2018-02-01,Brooklyn,2943360,2827526,0.960645657,73
2018-02-01,Manhattan,6087080,5753538,0.945204926,151
2018-02-01,Queens,2056320,1966738,0.956435769,51
2018-02-01,Systemwide,12135080,11557142,0.952374603,4
2018-03-01,Bronx,1160335,1103877,0.951343362,26
2018-03-01,Brooklyn,3258720,3131642,0.961003707,73
2018-03-01,Manhattan,6738235,6347015,0.941940286,151
2018-03-01,Queens,2276640,2193780,0.963604259,51
2018-03-01,Systemwide,13433930,12776314,0.95104813,4
2018-04-01,Bronx,1123135,1079562,0.96120413,26
2018-04-01,Brooklyn,3153530,3036616,0.962925991,73
2018-04-01,Manhattan,6503975,6143793,0.944621251,151
2018-04-01,Queens,2203200,2102825,0.954441267,51
2018-04-01,Systemwide,12983840,12362796,0.952167926,4
2018-05-01,Bronx,1160635,1114207,0.95999776,26
2018-05-01,Brooklyn,3258050,3125481,0.959310324,73
2018-05-01,Manhattan,6696000,6370798,0.951433393,150
2018-05-01,Queens,2276640,2178474,0.956881193,51
2018-05-01,Systemwide,13391325,12788960,0.955018267,4
2018-06-01,Bronx,1121900,1054766,0.940160442,26
2018-06-01,Brooklyn,3153600,3015287,0.956141235,73
2018-06-01,Manhattan,6517355,6121598,0.93927644,151
2018-06-01,Queens,2203200,2096210,0.951438816,51
2018-06-01,Systemwide,12996055,12287861,0.945507002,4
2018-07-01,Bronx,1160640,1079791,0.930341019,26
2018-07-01,Brooklyn,3258720,3134855,0.961989677,73
2018-07-01,Manhattan,6717600,6347515,0.944908152,151
2018-07-01,Queens,2276640,2190214,0.962037916,51
2018-07-01,Systemwide,13413600,12752375,0.950704882,4
2018-08-01,Bronx,1160640,1112920,0.958884753,26
2018-08-01,Brooklyn,3258720,3130616,0.960688859,73
2018-08-01,Manhattan,6696000,6362551,0.950201762,150
2018-08-01,Queens,2275570,2164111,0.951019305,51
2018-08-01,Systemwide,13390930,12770198,0.953645341,4
2018-09-01,Bronx,1123200,1078981,0.960631232,26
2018-09-01,Brooklyn,3153400,3046516,0.966105156,73
2018-09-01,Manhattan,6537320,6299694,0.963650854,152
2018-09-01,Queens,2201445,2099100,0.953510081,51
2018-09-01,Systemwide,13015365,12524291,0.962269671,4
2018-10-01,Bronx,1160640,1050877,0.905428901,26
2018-10-01,Brooklyn,3258720,3143202,0.964551112,73
2018-10-01,Manhattan,6781120,6503215,0.959017832,152
2018-10-01,Queens,2273210,2094126,0.921219773,51
2018-10-01,Systemwide,13473690,12791420,0.949362795,4
2018-11-01,Bronx,1123200,1050149,0.934961717,26
2018-11-01,Brooklyn,3150690,3046559,0.966949779,73
2018-11-01,Manhattan,6566400,6177006,0.940699013,152
2018-11-01,Queens,2201590,2082045,0.945700607,51
2018-11-01,Systemwide,13041880,12355759,0.947390944,4
2018-12-01,Bronx,1160640,1122930,0.967509305,26
2018-12-01,Brooklyn,3253790,3145084,0.96659096,73
2018-12-01,Manhattan,6785150,6430773,0.947771678,152
2018-12-01,Queens,2276280,2128963,0.935281688,51
2018-12-01,Systemwide,13475860,12827750,0.951905852,4
2019-01-01,Bronx,1160640,1105392,0.952398677,26
2019-01-01,Brooklyn,3254570,3119953,0.958637547,73
2019-01-01,Manhattan,6784880,6301557,0.928764694,153
2019-01-01,Queens,2276640,2113260,0.928236348,51
2019-01-01,Systemwide,13476730,12640162,0.937925001,4
2019-02-01,Bronx,1048320,997300,0.951331654,26
2019-02-01,Brooklyn,2943360,2815789,0.956658037,73
2019-02-01,Manhattan,6126655,5898736,0.962798787,153
2019-02-01,Queens,2056320,1941633,0.944227066,51
2019-02-01,Systemwide,12174655,11653458,0.957189998,4
2019-03-01,Bronx,1160640,1108842,0.955371175,26
2019-03-01,Brooklyn,3258720,3191561,0.979390988,73
2019-03-01,Manhattan,6827785,6520064,0.954931065,153
2019-03-01,Queens,2276640,2195098,0.964183182,51
2019-03-01,Systemwide,13523785,13015565,0.962420284,4
2019-04-01,Bronx,1123200,1074143,0.956323896,26
2019-04-01,Brooklyn,3153600,3089116,0.979552258,73
2019-04-01,Manhattan,6609600,6151442,0.930682946,153
2019-04-01,Queens,2203200,2110091,0.957739198,51
2019-04-01,Systemwide,13089600,12424792,0.949210977,4
2019-05-01,Bronx,1160640,1093718,0.942340433,26
2019-05-01,Brooklyn,3258720,3181577,0.976327208,73
2019-05-01,Manhattan,6829920,6526638,0.955595087,153
